name,value
戈生,1457
冬虫夏眠,1373.7
奶盖芋圆猫猫虫,1146.8
cc,1093.6
薯鱼,1034.3
起落穿云,1034
清辉夜宁宁,1027.6
没事睡觉中,1020
HTC,1010.2
鱼白,1006.1
谢谢你，泰罗,1000
舟舟,1000
爱吃可可的鲤鱼王,1000
Amerenk,1000
生了是个太极,828.5
两万flag,800
吃好喝好去接水,734
HBK08,650
博派魔理沙,623.8
抹一缕月光,600
Disguiser.,581.7
喵九,500
金额flag,500
22700flag,500
13600flag,500
桐生一喵,299.2
琳雨依直走,293.6
科比布莱恩特,273.4
拉普拉斯魔,230.2
Nxname,230
渔歌问月,224.6
今天不吃饭,220.2
leeqri,210
春雪丶,210
小tāng,200
dingcross,200
1qqqqqq,200
汤陈一品yyh（150人头flag）,200
铁嘴（200flag）,200
CrimsonRequiem,200
树啊树啊树,195.7
流汗黄豆,150
时忆,146.8
mdylm,146.8
Slips,145.7
罗航,144.6
这样真的很不错,143.4
LLLLLLifeline,140
已经起了风,140
第010条鲨鱼,133.4
吹笛者身后的白狼王,113.4
tomato,110
박도현,110
7宝,110
七年森林狼老粉想要总冠军.,102.3
人头,100
我是我和我...,100
特殊大豆,100
敬余欢,100
Ameka,100
喝奶茶,100
言遇鍾生,100
漏电五郎,100
陈琳,93.4
亖天荫亖,82.3
Bahnhof,82.3
REEEX,73.4
邬云,73.4
星2754,73.4
七堡,73.4
？？,73.4
此南有个007,73.4
爱笑颜,73.4
可爱小豆没有双马尾,73.4
应如是鸭,73.4
星际争霸2世界冠军李培楠,73.4
劳动最光荣,73.4
三月,73.4
skt-feiju,73.4
HOC_GD,73.4
全斗焕,73.4
黄前久美子,72.3
不见王影,72.3
周山,72.3
拉扯大师369,72.3
东流流流流流流流,72.3
Lyn,72.3
keenOrangestar,72.3
本面选手,72.3
江北吃辣第一铁嘴,72.3
陈琳,72.3
乌鸫,72.3
日月星tomorrow-star,72.3
青浦博物馆,72.3
鸡蛋,72.3
空屋,72.3
传奇捕鸟人elk,72.3
单推陈洋气,72.3
解释春风无限恨i,50
依然,50
大哲学家,50
吃冰冰的若...,50
谁在呼叫舰队,50
玩小将_Zz,50
Ci,50
nnyl,50
李骏豪,40
子顺,30
溪零,30
安东尼奥纳纳我们喜欢你,30
啵唧瑞奇一口,30
凤什么,30
王钟赋,30
支持琳神,30
君莫笑今朝,30
陈琳铁血单推人韩建国,20
路漫其远,20
一块泥巴啊,20
水也,20
snh48-沈梦瑶,20
MurphyHolmes,20
瓜子Polaris,20
傻豆一恩弟,20
琦琦,20
Eve723,20
李培楠,20
樱日和Fragile,20
小丑毛处看我origod5分钟单杀你,20
从此畅所欲言,20
iiRayz,10
SNH48-陈琳,10
风华,10
寻遥青,10
MurphyHolmes,10
路过的幸运星,10
Kiko-枝吱,10
杀菌奶,10
云熙YunXi,10
羽哦,10
NewBeeHaoHao,10
橙星二号机,10
用户-2019,10
嗨皮痒痒,10
炽焰咆哮虎,10
啵啵冷冷老公,10
招财进妳,10
普通小tdb,10
四把火的出云酱,10
陈蓁蓁最喜欢我,10
盒纤,10
人头来喽,10
这样真的很不错,10
稻田桔,10
叶盛（小酒馆版）,10
最爱cl,10
xxg,10
太和太予,10
卢卡•莫德里奇,10
鲨世里Sayori,10
陈琳单推人,10
Mayuri,10
大雁,10
YLG48,10
黄金燕楚,10
戴同学,10
彼得帕克,10
re,10
rlylzzz,10
奶油熊子烧酒,10
爱吃薯条的猪仔,10
吉米大叔呀,10
Fzy,10
ersterbend,10
邬云,10
胡俊,10
曾焦阳爱丁聪,10
SNH48-叶盛,10
一般路过,10
熊良晟,10
大脑门,10
FAZE银河战舰启航,10
吃海鲜痛风的孙一峰,10
Kasky,10
海德萨因,10
阿松,10
Mr.cleverpig,10
网友青雀,10
ok琳仔,10
